step_time,radius,diffusion_coef,tx_count,tx_centers,molecule_counts,rx_center,from,"first_rotations(x,y,z)","second_rotations(x,y,z)"
9.999999974752427e-07,5,79.4000015258789,2,"[[8.510873364201501, 2.3328756209442743, -3.615149225531829], [3.257631451122402, 3.6086187737017164, 12.511159119071085]]","[10000, 10000]","[0, 0, 0]","[3134, 2723]","[217.37924194335938, 157.72317504882812, 195.32858276367188]","[140.46542358398438, 248.76516723632812, 227.92628479003906]"
9.999999974752427e-07,5,79.4000015258789,2,"[[-0.6177209199967896, 6.3787551638309195, 0.055063304707299865], [4.034581479337417, -3.473883620722641, 0.1259160999746297]]","[10000, 10000]","[0, 0, 0]","[2757, 1059]","[354.6718444824219, 359.5077209472656, 95.53129577636719]","[352.330322265625, 181.3548126220703, 139.27066040039062]"
9.999999974752427e-07,5,79.4000015258789,2,"[[-2.9880846199434905, -11.277176054368015, 5.296046356874162], [-0.08567517526163083, 0.0254670190621278, -9.31554068792568]]","[10000, 10000]","[0, 0, 0]","[1355, 2617]","[172.17156982421875, 335.5838623046875, 255.15951538085938]","[327.3099060058594, 90.54972076416016, 343.44537353515625]"
9.999999974752427e-07,5,79.4000015258789,2,"[[12.185454268404381, 3.708366554246516, 1.7337075637700827], [-0.6389050187937149, 8.480032082895127, -2.078166758168538]]","[10000, 10000]","[0, 0, 0]","[629, 1591]","[281.5168151855469, 187.75108337402344, 196.9264373779297]","[110.2063217163086, 166.267578125, 274.30865478515625]"
9.999999974752427e-07,5,79.4000015258789,2,"[[1.7713889511737908, -0.8354966293815105, -13.188524014217538], [1.5909640324139698, -4.540881118664918, -3.676351982169789]]","[10000, 10000]","[0, 0, 0]","[416, 1088]","[72.01274108886719, 81.5531234741211, 334.74853515625]","[117.11953735351562, 37.38243865966797, 289.30865478515625]"
9.999999974752427e-07,5,79.4000015258789,2,"[[2.7084367614947555, -0.7730874511521129, 8.418989265770675], [-3.803905749500453, 2.1142985233634874, -11.883599927648499]]","[10000, 10000]","[0, 0, 0]","[23, 94]","[325.63427734375, 288.4978942871094, 344.0693054199219]","[143.82566833496094, 110.11371612548828, 330.9336853027344]"
9.999999974752427e-07,5,79.4000015258789,2,"[[-12.318375502745562, 6.860210777028176, -1.2379433976900494], [13.65671795128383, -5.538151001357477, 0.4739508490102477]]","[10000, 10000]","[0, 0, 0]","[1706, 2653]","[94.24272155761719, 5.0176191329956055, 150.8861846923828]","[11.47743034362793, 358.157958984375, 337.9261779785156]"
9.999999974752427e-07,5,79.4000015258789,2,"[[1.2787003030955535, 1.5581507514927737, -6.837650209555704], [6.049835107767711, -12.505375366800084, 4.706284545424886]]","[10000, 10000]","[0, 0, 0]","[737, 2956]","[250.96945190429688, 106.4249496459961, 230.6259002685547]","[49.21443557739258, 198.71530151367188, 115.81671142578125]"
9.999999974752427e-07,5,79.4000015258789,2,"[[-3.8491486819018714, -6.309387405766381, 0.81921875312595], [-11.579889158092778, 3.1226127928294694, -2.147796148961408]]","[10000, 10000]","[0, 0, 0]","[777, 2330]","[343.82562255859375, 186.3249969482422, 58.614013671875]","[250.3795623779297, 10.152891159057617, 164.90867614746094]"
9.999999974752427e-07,5,79.4000015258789,2,"[[1.4389581283881823, 6.00676663634435, -8.839081796206555], [0.07932950480548259, 0.5041820147287407, 9.491465888959162]]","[10000, 10000]","[0, 0, 0]","[1886, 1118]","[104.6621322631836, 55.054290771484375, 76.52831268310547]","[307.525146484375, 273.0780029296875, 81.05821990966797]"
9.999999974752427e-07,5,79.4000015258789,2,"[[11.327144591751924, 6.8295165411508165, -2.1340387925749846], [1.9179546259476428, 3.266182912031897, -10.85850948016432]]","[10000, 10000]","[0, 0, 0]","[1046, 2264]","[104.67760467529297, 9.165279388427734, 31.087188720703125]","[239.66131591796875, 109.22985076904297, 239.57786560058594]"
9.999999974752427e-07,5,79.4000015258789,2,"[[-0.24019319715204634, -2.825024258490777, -4.501801860187151], [-7.661845636977353, 6.009072663217077, -2.1741001230369306]]","[10000, 10000]","[0, 0, 0]","[108, 3094]","[260.2280578613281, 122.20256042480469, 85.14020538330078]","[328.44976806640625, 167.41355895996094, 321.8934326171875]"
9.999999974752427e-07,5,79.4000015258789,2,"[[1.8576100035821244, 5.548314588322064, -3.899317588251553], [0.31110239495268655, 2.6196087198534395, 12.35116741163141]]","[10000, 10000]","[0, 0, 0]","[1615, 967]","[33.70852279663086, 146.31919860839844, 251.4891357421875]","[144.5035400390625, 257.94366455078125, 263.2273254394531]"
9.999999974752427e-07,5,79.4000015258789,2,"[[0.8458775929662556, -0.7312576306112732, 5.949995499803474], [4.765691630564198, 0.2592633177604578, -5.5122533276414085]]","[10000, 10000]","[0, 0, 0]","[2819, 2164]","[90.9817123413086, 259.3569030761719, 139.15672302246094]","[319.2854919433594, 49.11262130737305, 3.1139373779296875]"
9.999999974752427e-07,5,79.4000015258789,2,"[[-0.1663009336061015, -1.665022121481375, 14.209925475540944], [-10.696232215138577, -1.542897516332301, -1.1899748946938882]]","[10000, 10000]","[0, 0, 0]","[562, 572]","[312.2456359863281, 276.71600341796875, 264.2962646484375]","[24.334308624267578, 173.7163543701172, 8.208117485046387]"
9.999999974752427e-07,5,79.4000015258789,2,"[[3.235558252179505, -4.1924237562238975, 10.094578599847914], [10.961896079716196, -5.02375747569244, 1.7482182438349652]]","[10000, 10000]","[0, 0, 0]","[3133, 2330]","[337.04803466796875, 297.6822204589844, 307.6596374511719]","[323.3736267089844, 351.75067138671875, 335.37835693359375]"
9.999999974752427e-07,5,79.4000015258789,2,"[[-4.705144085947689, -1.3479655050202635, -4.633048108578226], [-1.4085474511341938, -8.106194489553177, 9.666421895303587]]","[10000, 10000]","[0, 0, 0]","[1707, 545]","[206.341552734375, 136.5714569091797, 15.98635196685791]","[228.0724334716797, 229.59693908691406, 80.1426010131836]"
9.999999974752427e-07,5,79.4000015258789,2,"[[-10.250361266306289, 6.3281910898489695, 0.5276031795130625], [0.9937413420859207, -4.763620788970704, 2.6135649546195934]]","[10000, 10000]","[0, 0, 0]","[975, 3188]","[134.853515625, 357.4921875, 148.31036376953125]","[176.22036743164062, 331.76025390625, 281.78350830078125]"
9.999999974752427e-07,5,79.4000015258789,2,"[[-3.4827248964998443, 0.6465383471615899, 4.741949297471517], [6.162658924322391, 7.926144647426805, 2.32287161534958]]","[10000, 10000]","[0, 0, 0]","[761, 1587]","[237.63714599609375, 306.7596740722656, 169.48324584960938]","[259.09686279296875, 193.0268096923828, 232.1345672607422]"
9.999999974752427e-07,5,79.4000015258789,2,"[[3.9529515704355775, -2.160628152019905, -12.267536958339738], [-3.2130996382690213, 13.410046128396763, -1.7727393712079993]]","[10000, 10000]","[0, 0, 0]","[2444, 1001]","[25.7100887298584, 69.83568572998047, 331.339599609375]","[30.35651206970215, 172.67445373535156, 283.4742736816406]"
